Date,Open,High,Low,Close,Adj Close,Volume
2016-11-22,30.607241,31.251293,30.478432,31.059999,30.775684,8089100
2016-11-23,30.785593,31.112572,30.696417,31.129999,30.845043,3603800
2016-11-25,30.904497,30.954037,30.617149,30.930000,30.646875,2527200
2016-11-28,30.686508,30.894588,30.309988,30.940001,30.656784,4110300
2016-11-29,30.597332,30.835136,30.309988,30.610001,30.329805,3732400
2016-11-30,30.260447,30.428888,30.022642,30.389999,30.111818,4882800
2016-12-01,30.032551,30.914406,29.874016,30.910000,30.627060,4424600
2016-12-02,30.617149,30.805412,30.280262,30.760000,30.478432,3067900
2016-12-05,30.498249,30.617149,30.339714,30.760000,30.478432,3665600
2016-12-06,30.468523,30.617149,29.834381,30.500000,30.220812,5323600
2016-12-07,30.101908,30.914406,30.082092,31.030001,30.745960,5098500
2016-12-08,30.805412,31.489094,30.577517,31.700001,31.409828,4443700
2016-12-09,31.499004,31.875523,31.181932,32.040001,31.746716,4480100
2016-12-12,31.697172,31.716988,30.567608,31.040001,30.755869,6501700
2016-12-13,30.815321,31.241385,30.448706,31.389999,31.102665,5442900
2016-12-14,31.033304,31.390009,30.845043,31.209999,30.924311,3616500
2016-12-15,30.914406,31.449461,30.726145,31.680000,31.390009,4913900
2016-12-16,31.409828,32.043968,31.320652,32.290001,31.994429,15299000
2016-12-19,32.053875,32.499760,31.845800,32.439999,32.143055,4462600
2016-12-20,32.024151,32.351135,31.984518,32.389999,32.093510,2939300
2016-12-21,32.083603,32.440308,32.063786,32.509998,32.212410,2683400
2016-12-22,32.212410,32.400673,31.528728,31.860001,31.568363,2826500
2016-12-23,31.617905,31.716988,31.399918,31.910000,31.617905,2167700
2016-12-27,31.469278,31.707081,31.340467,31.719999,31.429644,2454700
2016-12-28,31.409828,31.439552,30.745960,31.219999,30.934219,2573900
2016-12-29,30.914406,31.181932,30.676600,31.010000,30.726145,2232000
2016-12-30,30.775684,31.013487,30.389256,30.760000,30.478432,2707500
2017-01-03,30.527973,30.973856,30.349621,30.889999,30.607241,4995000
2017-01-04,30.617149,30.894588,30.577517,30.940001,30.656784,4443800
2017-01-05,30.508158,30.567608,29.745205,30.459999,30.181175,6877600
2017-01-06,30.200994,30.508158,29.933466,30.709999,30.428888,4011700
2017-01-09,30.379347,30.557699,29.973101,30.770000,30.488340,4349400
2017-01-10,30.478432,30.706326,30.399164,30.730000,30.448706,2946800
2017-01-11,30.329260,30.428799,30.020693,30.500000,30.359121,4340700
2017-01-12,30.359121,30.578106,30.269537,30.520000,30.379030,2696600
2017-01-13,30.408890,30.906582,30.359121,30.680000,30.538292,2560800
2017-01-17,30.538292,31.026028,30.458660,30.980000,30.836905,3793200
2017-01-18,30.926489,31.065842,30.598013,31.209999,31.065842,2938300
2017-01-19,31.075796,31.075796,30.627876,30.770000,30.627876,3142600
2017-01-20,30.657736,30.816998,30.448708,30.809999,30.667690,3894000
2017-01-23,30.657736,30.667690,30.160046,30.360001,30.219770,4927800
2017-01-24,30.289446,30.478569,30.060509,30.459999,30.319305,3951000
2017-01-25,30.528337,30.797091,30.359121,30.900000,30.757275,3260200
2017-01-26,30.757275,31.284826,30.677645,31.190001,31.045937,3906000
2017-01-27,31.026028,31.045937,30.110277,30.309999,30.170000,5421400
2017-01-30,30.070461,30.100323,29.552864,29.900000,29.761892,5494100
2017-01-31,29.751940,30.120232,29.632494,30.219999,30.080416,4167200
2017-02-01,30.080416,30.189907,29.383650,29.830000,29.692217,4946800
2017-02-02,29.532955,29.851479,29.513048,29.660000,29.523003,4016800
2017-02-03,29.503094,29.712126,29.343834,29.799999,29.662355,4853900
2017-02-06,29.612587,29.632494,29.114897,29.280001,29.144758,4816000
2017-02-07,29.184572,29.224388,28.816282,28.980000,28.846142,6204000
2017-02-08,28.866051,29.274157,28.487806,29.299999,29.164663,9241500
2017-02-09,28.567436,30.279491,28.567436,30.350000,30.209816,16966100
2017-02-10,30.289446,30.727413,30.030647,30.340000,30.199862,10667100
2017-02-13,30.199862,30.379030,29.871386,30.030001,29.891294,5878400
2017-02-14,29.841524,30.299400,29.463280,30.379999,30.239676,6820200
2017-02-15,30.259584,30.747320,30.219770,30.719999,30.578106,4748900
2017-02-16,30.558199,30.807045,30.379030,30.559999,30.418844,3539400
2017-02-17,30.359121,30.926489,30.279491,30.910000,30.767229,4066100
2017-02-21,30.866766,31.145473,30.836905,31.219999,31.075796,3883800
2017-02-22,30.996166,31.075796,30.836905,31.100000,30.956350,3897300
2017-02-23,31.095703,31.414227,30.956350,31.150000,31.006119,5229700
2017-02-24,30.797091,31.434134,30.468615,31.559999,31.414227,3952800
2017-02-27,31.354504,31.354504,30.687597,31.100000,30.956350,4626800
2017-02-28,31.045937,31.055889,30.379030,30.670000,30.528337,5895400
2017-03-01,30.647783,30.787136,30.379030,30.620001,30.478569,5249200
2017-03-02,30.329260,30.538292,30.110277,30.459999,30.319305,3958800
2017-03-03,30.199862,30.219770,29.323925,29.700001,29.562819,5738700
2017-03-06,29.423464,29.712126,29.413509,29.660000,29.523003,4067300
2017-03-07,29.383650,29.473234,29.214434,29.469999,29.333879,3929000
